producto,marca,grupo,precio,precio_lista,super,url
Pan Catalán TIENDA INGLESA x 1,pancatalan,bimbo,30,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-catalan-tienda-inglesa-x-1.producto?790,,42"
Rapiditas BIMBO Chía Linaza (8 un.),rapiditas,bimbo,179,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/rapiditas-bimbo-chia-linaza-8-un..producto?1583467,,42"
Rapiditas BIMBO Light (10 un.),rapiditas,bimbo,179,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/rapiditas-bimbo-light-10-un..producto?54733,,42"
Rapiditas Con Lino Y Chia Bimbo 8 U,rapiditas,bimbo,145,172,tata,https://www.tata.com.uy/rapiditas-con-lino-y-chia-bimbo-8-u-157041/p
Rapiditas Light Bimbo 10 U,rapiditas,bimbo,145,172,tata,https://www.tata.com.uy/rapiditas-light-bimbo-10-u-806/p
Rapiditas Tradicional Bimbo 10 U,rapiditas,bimbo,145,172,tata,https://www.tata.com.uy/rapiditas-tradicional-bimbo-10-u-805/p
Tortilla Rapiditas Wrap XL BIMBO (6 un.) 420 g,rapiditas,bimbo,199,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/tortilla-rapiditas-wrap-xl-bimbo-6-un.-420-g.producto?1514413,,42"
Tortillas rapiditas BIMBO 310 g,rapiditas,bimbo,139,168,devoto,https://www.devoto.com.uy/product/tortillas-rapiditas-bimbo-310-g/664153
Tortillas rapiditas BIMBO 310 g,rapiditas,bimbo,139,168,disco,https://www.disco.com.uy/product/tortillas-rapiditas-bimbo-310-g/664153
Tortillas rapiditas BIMBO light 310 g,rapiditas,bimbo,139,168,devoto,https://www.devoto.com.uy/product/tortillas-rapiditas-bimbo-light-310-g/664154
Tortillas rapiditas BIMBO light 310 g,rapiditas,bimbo,139,168,disco,https://www.disco.com.uy/product/tortillas-rapiditas-bimbo-light-310-g/664154
Tortillas Rapiditas BIMBO Lino Chía 250 g,rapiditas,bimbo,139,,devoto,https://www.devoto.com.uy/product/tortillas-rapiditas-bimbo-lino-chia-250-g/373987
Tortillas Rapiditas BIMBO Lino Chía 250 g,rapiditas,bimbo,139,,disco,https://www.disco.com.uy/product/tortillas-rapiditas-bimbo-lino-chia-250-g/373987
Tortillas Rapiditas Bimbo Maxi 6 U 420 G,rapiditas,bimbo,175,175,tata,https://www.tata.com.uy/tortillas-rapiditas-bimbo-maxi-6-u-420-g-86711/p
Tortillas rapiditas BIMBO maxi 6 un. 420 g,rapiditas,bimbo,193,,devoto,https://www.devoto.com.uy/product/tortillas-rapiditas-bimbo-maxi-6-un-420-g/345155
Tortillas rapiditas BIMBO maxi 6 un. 420 g,rapiditas,bimbo,193,,disco,https://www.disco.com.uy/product/tortillas-rapiditas-bimbo-maxi-6-un-420-g/345155
Nachos Clasicos San Exp Sanisimo 160 G,sanissimo,bimbo,227,227,tata,https://www.tata.com.uy/nachos-clasicos-san-exp-sanisimo-160-g-157010/p
Nachos Tomate Alba San Sanisimo 160 G,sanissimo,bimbo,227,227,tata,https://www.tata.com.uy/nachos-tomate-alba-san-sanisimo-160-g-157011/p
Tostadas De Maiz  Salmas Sanissimo 6 U 108 G,sanissimo,bimbo,180,180,tata,https://www.tata.com.uy/tostadas-de-maiz-salmas-sanissimo-6-u-108-g-86714/p
Tostadas Salmas Horneadas 216 G,sanissimo,bimbo,261,261,tata,https://www.tata.com.uy/tostadas-salmas-horneadas-216-g-148195/p
Tostadita Salmas de Maíz al Horno SANISSIMO 216 gr,sanissimo,bimbo,186,310,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/tostadita-salmas-de-maiz-al-horno-sanissimo-216-gr.producto?1516028,,42&campaign=search_facets"
Tostadita Salmas de Maíz al Horno SANISSIMO 6 Unidades,sanissimo,bimbo,109,182,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/tostadita-salmas-de-maiz-al-horno-sanissimo-6-unidades.producto?1516029,,42"
Tostaditas SANISSIMO salmas x 12 un. 216 g,sanissimo,bimbo,275,,devoto,https://www.devoto.com.uy/product/tostaditas-sanissimo-salmas-x-12-un-216-g/664235
Tostaditas SANISSIMO salmas x 12 un. 216 g,sanissimo,bimbo,275,,disco,https://www.disco.com.uy/product/tostaditas-sanissimo-salmas-x-12-un-216-g/664235
Tostaditas SANISSIMO salmas x 5 un. 90 g,sanissimo,bimbo,168,,disco,https://www.disco.com.uy/product/tostaditas-sanissimo-salmas-x-5-un-90-g/664234
Tostaditas SANISSIMO Salmas x 6 108 g,sanissimo,bimbo,176,,devoto,https://www.devoto.com.uy/product/tostaditas-sanissimo-salmas-x-6-108-g/602183
Tostaditas SANISSIMO Salmas x 6 108 g,sanissimo,bimbo,176,,disco,https://www.disco.com.uy/product/tostaditas-sanissimo-salmas-x-6-108-g/602183
Fajitas TÍA ROSA x 10 Unidades 215 gr,tia rosa,bimbo,164,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/fajitas-tia-rosa-x-10-unidades-215-gr.producto?309761,,42"
Tortillas Burrera TÍA ROSA 420 g,tia rosa,bimbo,179,,devoto,https://www.devoto.com.uy/product/tortillas-burrera-tia-rosa-420-g/981159
Tortillas Burrera TÍA ROSA 420 g,tia rosa,bimbo,179,,disco,https://www.disco.com.uy/product/tortillas-burrera-tia-rosa-420-g/981159
Tortillas Burreras TÍA ROSA 420 gr,tia rosa,bimbo,192,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/tortillas-burreras-tia-rosa-420-gr.producto?1595670,,42"
Tortillas Fajitas TÍA ROSA 240 g,tia rosa,bimbo,153,,devoto,https://www.devoto.com.uy/product/tortillas-fajitas-tia-rosa-240-g/981158
Tortillas Fajitas TÍA ROSA 240 g,tia rosa,bimbo,153,,disco,https://www.disco.com.uy/product/tortillas-fajitas-tia-rosa-240-g/981158
Tortillas Harina Burrera Tia Rosa 420 Gr,tia rosa,bimbo,169,169,tata,https://www.tata.com.uy/tortillas-harina-burrera-tia-rosa-420-gr-169928/p
Tortillas Harina De Trigo Fajitas Tia Rosa 240 Gr,tia rosa,bimbo,149,149,tata,https://www.tata.com.uy/tortillas-harina-de-trigo-fajitas-tia-rosa-240-gr-169942/p
Tortillas mexicanas TÍA ROSA 270 g,tia rosa,bimbo,153,,devoto,https://www.devoto.com.uy/product/tortillas-mexicanas-tia-rosa-270-g/573956
Tortillas mexicanas TÍA ROSA 270 g,tia rosa,bimbo,153,,disco,https://www.disco.com.uy/product/tortillas-mexicanas-tia-rosa-270-g/573956
Tortillas Taqueras TÍA ROSA x 8 Unidades 270 gr,tia rosa,bimbo,158,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/tortillas-taqueras-tia-rosa-x-8-unidades-270-gr.producto?1562711,,42"
Pan Bimbo Mix Cereales Vital 540 G,vital,bimbo,215,215,tata,https://www.tata.com.uy/pan-bimbo-mix-cereales-vital-540-g-136884/p
Pan con semillas BIMBO vital 540 g,vital,bimbo,225,,devoto,https://www.devoto.com.uy/product/pan-con-semillas-bimbo-vital-540-g/201109
Pan con semillas BIMBO vital 540 g,vital,bimbo,225,,disco,https://www.disco.com.uy/product/pan-con-semillas-bimbo-vital-540-g/201109
Pan Mix Cereales VITAL Bimbo 510 gr,vital,bimbo,227,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-mix-cereales-vital-bimbo-510-gr.producto?1533462,,42"
Pan mix de cerales Vital BIMBO 540 g,vital,bimbo,225,,devoto,https://www.devoto.com.uy/product/pan-mix-de-cerales-vital-bimbo-540-g/661373
Pan mix de cerales Vital BIMBO 540 g,vital,bimbo,225,,disco,https://www.disco.com.uy/product/pan-mix-de-cerales-vital-bimbo-540-g/661373
Pan Semillas Vital Bimbo 510 G,vital,bimbo,215,215,tata,https://www.tata.com.uy/pan-semillas-vital-bimbo-510-g-804/p
