producto,marca,grupo,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Snack TAKIS Original 250 g,takis,bimbo,195,,,,,,,disco,379285,https://www.disco.com.uy/product/snack-takis-original-250-g/379285
Snack TAKIS Original 56 g,takis,bimbo,64,,,,,,,disco,379279,https://www.disco.com.uy/product/snack-takis-original-56-g/379279
Snack Takis Original 56 G,takis,bimbo,65,65,,,,,,tata,152803,https://www.tata.com.uy/snack-takis-original-56-g-152803/p
Snack TAKIS Xplosion 56 g,takis,bimbo,64,,,,,,,disco,379283,https://www.disco.com.uy/product/snack-takis-xplosion-56-g/379283
Snacks Barcel Takis Blue Heat 49gr,takis,bimbo,69.9,69.9,,,,,,eldorado,60198,https://www.eldorado.com.uy/snacks-barcel-takis-blue-heat-49gr/p
Snacks Takis Fuego 152 G,takis,bimbo,145,195,,,,,,tata,152804,https://www.tata.com.uy/snacks-takis-fuego-152-g-152804/p
Snacks Takis Fuego 152gr,takis,bimbo,159,190.9,,,,,,eldorado,50422,https://www.eldorado.com.uy/snacks-takis-fuego-152gr/p
Snacks Takis Fuego 250gr,takis,bimbo,99.9,214.9,,,,,,eldorado,50424,https://www.eldorado.com.uy/snacks-takis-fuego-250gr/p
Snacks Takis Fuego 56gr,takis,bimbo,64.9,64.9,,,,,,eldorado,50420,https://www.eldorado.com.uy/snacks-takis-fuego-56gr/p
Snacks Takis Original 152gr,takis,bimbo,159,189.9,,,,,,eldorado,50423,https://www.eldorado.com.uy/snacks-takis-original-152gr/p
Snacks Takis Original 56gr,takis,bimbo,64.9,64.9,,,,,,eldorado,50419,https://www.eldorado.com.uy/snacks-takis-original-56gr/p
Snacks Takis Xplosion 56gr,takis,bimbo,64.9,64.9,,,,,,eldorado,50421,https://www.eldorado.com.uy/snacks-takis-xplosion-56gr/p
Takis Blue Heat 49 g,takis,bimbo,60,60,,,,,,tata,173521,https://www.tata.com.uy/takis-blue-heat-49-g-1000598509-173521/p
TAKIS Blue Heat 49 g,takis,bimbo,67,,,,,,,tiendainglesa,1608333,"https://www.tiendainglesa.com.uy/supermercado/takis-blue-heat-49-g.producto?1608333,,42"
TAKIS Fuego 152 gr,takis,bimbo,197,,,,,,,tiendainglesa,1575760,"https://www.tiendainglesa.com.uy/supermercado/takis-fuego-152-gr.producto?1575760,,42"
TAKIS Intense Nacho sabor Queso sin Picante 190 gr,takis,bimbo,189,,,,,,,tiendainglesa,1601164,"https://www.tiendainglesa.com.uy/supermercado/takis-intense-nacho-sabor-queso-sin-picante-190-gr.producto?1601164,,42"
TAKIS Intense Nacho sabor Queso sin Picante 49 gr,takis,bimbo,64,,,,,,,tiendainglesa,1601163,"https://www.tiendainglesa.com.uy/supermercado/takis-intense-nacho-sabor-queso-sin-picante-49-gr.producto?1601163,,42"
TAKIS Original 152 gr,takis,bimbo,197,,,,,,,tiendainglesa,1575761,"https://www.tiendainglesa.com.uy/supermercado/takis-original-152-gr.producto?1575761,,42"
TAKIS Original 56 gr,takis,bimbo,66,,,,,,,tiendainglesa,1575757,"https://www.tiendainglesa.com.uy/supermercado/takis-original-56-gr.producto?1575757,,42"
Takis Xplosion 56 G,takis,bimbo,49,70,,,,,,tata,152689,https://www.tata.com.uy/takis-xplosion-56-g-152689/p
TAKIS Xplosion 56 gr,takis,bimbo,66,,,,,,,tiendainglesa,1575759,"https://www.tiendainglesa.com.uy/supermercado/takis-xplosion-56-gr.producto?1575759,,42"
Fajitas TÍA ROSA x 10 Unidades 215 gr,tia rosa,bimbo,164,,,,,,,tiendainglesa,309761,"https://www.tiendainglesa.com.uy/supermercado/fajitas-tia-rosa-x-10-unidades-215-gr.producto?309761,,42"
Tortilla Tia Rosa Burrera 420gr,tia rosa,bimbo,179.9,179.9,,,,,,eldorado,60117,https://www.eldorado.com.uy/tortilla-tia-rosa-burrera-420gr/p
Tortillas Burrera TÍA ROSA 420 g,tia rosa,bimbo,179,,,,,,,disco,981159,https://www.disco.com.uy/product/tortillas-burrera-tia-rosa-420-g/981159
Tortillas Burreras TÍA ROSA 420 gr,tia rosa,bimbo,192,,,,,,,tiendainglesa,1595670,"https://www.tiendainglesa.com.uy/supermercado/tortillas-burreras-tia-rosa-420-gr.producto?1595670,,42"
Tortillas Fajitas TÍA ROSA 240 g,tia rosa,bimbo,153,,,,,,,disco,981158,https://www.disco.com.uy/product/tortillas-fajitas-tia-rosa-240-g/981158
Tortillas Harina Burrera Tia Rosa 420 Gr,tia rosa,bimbo,169,169,,,,,,tata,169928,https://www.tata.com.uy/tortillas-harina-burrera-tia-rosa-420-gr-169928/p
Tortillas Harina De Trigo Fajitas Tia Rosa 240 Gr,tia rosa,bimbo,149,149,,,,,,tata,169942,https://www.tata.com.uy/tortillas-harina-de-trigo-fajitas-tia-rosa-240-gr-169942/p
Tortillas mexicanas TÍA ROSA 270 g,tia rosa,bimbo,153,,,,,,,disco,573956,https://www.disco.com.uy/product/tortillas-mexicanas-tia-rosa-270-g/573956
Tortillas Taqueras TÍA ROSA x 8 Unidades 270 gr,tia rosa,bimbo,158,,,,,,,tiendainglesa,1562711,"https://www.tiendainglesa.com.uy/supermercado/tortillas-taqueras-tia-rosa-x-8-unidades-270-gr.producto?1562711,,42"
